id,alert_id,entity_id,investigator,narrative,investigation_depth,sla_hours
case-000001,al-000002,ent-002,analyst-03,Validated the indicator against historical activity and documented the affected service boundary.,4,10
case-000002,al-000004,ent-004,analyst-05,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,12
case-000003,al-000006,ent-006,analyst-07,Validated the indicator against historical activity and documented the affected service boundary.,4,14
case-000004,al-000008,ent-008,analyst-09,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,16
case-000005,al-000010,ent-010,analyst-11,Reviewed alert source and confirmed normal operations. No customer impact observed.,1,2
case-000006,al-000012,ent-012,analyst-13,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,20
case-000007,al-000014,ent-002,analyst-15,Validated the indicator against historical activity and documented the affected service boundary.,4,22
case-000008,al-000015,ent-003,analyst-16,"Checked source integrity, confirmed the event was isolated, and recorded remediation evidence.",1,2
case-000009,al-000016,ent-004,analyst-17,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,24
case-000010,al-000017,ent-005,analyst-18,"Correlated telemetry with endpoint logs, reviewed operator actions, and confirmed containment.",1,2
case-000011,al-000018,ent-006,analyst-19,Validated the indicator against historical activity and documented the affected service boundary.,4,26
case-000012,al-000020,ent-008,analyst-21,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,28
case-000013,al-000022,ent-010,analyst-23,Validated the indicator against historical activity and documented the affected service boundary.,4,30
case-000014,al-000024,ent-012,analyst-01,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,8
case-000015,al-000026,ent-002,analyst-03,Validated the indicator against historical activity and documented the affected service boundary.,4,10
case-000016,al-000028,ent-004,analyst-05,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,12
case-000017,al-000030,ent-006,analyst-07,Validated the indicator against historical activity and documented the affected service boundary.,4,14
case-000018,al-000032,ent-008,analyst-09,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,16
case-000019,al-000034,ent-010,analyst-11,Reviewed alert source and confirmed normal operations. No customer impact observed.,1,2
case-000020,al-000036,ent-012,analyst-13,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,20
case-000021,al-000038,ent-002,analyst-15,Validated the indicator against historical activity and documented the affected service boundary.,4,22
case-000022,al-000040,ent-004,analyst-17,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,24
case-000023,al-000042,ent-006,analyst-19,Validated the indicator against historical activity and documented the affected service boundary.,4,26
case-000024,al-000044,ent-008,analyst-21,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,28
case-000025,al-000046,ent-010,analyst-23,Validated the indicator against historical activity and documented the affected service boundary.,4,30
case-000026,al-000048,ent-012,analyst-01,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,8
case-000027,al-000050,ent-002,analyst-03,Validated the indicator against historical activity and documented the affected service boundary.,4,10
case-000028,al-000051,ent-003,analyst-04,"Checked source integrity, confirmed the event was isolated, and recorded remediation evidence.",1,2
case-000029,al-000052,ent-004,analyst-05,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,12
case-000030,al-000054,ent-006,analyst-07,Validated the indicator against historical activity and documented the affected service boundary.,4,14
case-000031,al-000056,ent-008,analyst-09,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,16
case-000032,al-000058,ent-010,analyst-11,Validated the indicator against historical activity and documented the affected service boundary.,4,18
case-000033,al-000060,ent-012,analyst-13,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,20
case-000034,al-000062,ent-002,analyst-15,Validated the indicator against historical activity and documented the affected service boundary.,4,22
case-000035,al-000064,ent-004,analyst-17,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,24
case-000036,al-000066,ent-006,analyst-19,Validated the indicator against historical activity and documented the affected service boundary.,4,26
case-000037,al-000068,ent-008,analyst-21,Reviewed alert source and confirmed normal operations. No customer impact observed.,1,2
case-000038,al-000070,ent-010,analyst-23,Reviewed alert source and confirmed normal operations. No customer impact observed.,1,2
case-000039,al-000072,ent-012,analyst-01,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,8
case-000040,al-000074,ent-002,analyst-03,Validated the indicator against historical activity and documented the affected service boundary.,4,10
case-000041,al-000075,ent-003,analyst-04,"Checked source integrity, confirmed the event was isolated, and recorded remediation evidence.",1,2
case-000042,al-000076,ent-004,analyst-05,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,12
case-000043,al-000078,ent-006,analyst-07,Validated the indicator against historical activity and documented the affected service boundary.,4,14
case-000044,al-000080,ent-008,analyst-09,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,16
case-000045,al-000082,ent-010,analyst-11,Validated the indicator against historical activity and documented the affected service boundary.,4,18
case-000046,al-000084,ent-012,analyst-13,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,20
case-000047,al-000085,ent-001,analyst-14,"Correlated telemetry with endpoint logs, reviewed operator actions, and confirmed containment.",1,2
case-000048,al-000086,ent-002,analyst-15,Validated the indicator against historical activity and documented the affected service boundary.,4,22
case-000049,al-000088,ent-004,analyst-17,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,24
case-000050,al-000090,ent-006,analyst-19,Validated the indicator against historical activity and documented the affected service boundary.,4,26
case-000051,al-000092,ent-008,analyst-21,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,28
case-000052,al-000094,ent-010,analyst-23,Validated the indicator against historical activity and documented the affected service boundary.,4,30
case-000053,al-000096,ent-012,analyst-01,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,8
case-000054,al-000098,ent-002,analyst-03,Validated the indicator against historical activity and documented the affected service boundary.,4,10
case-000055,al-000100,ent-004,analyst-05,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,12
case-000056,al-000102,ent-006,analyst-07,Reviewed alert source and confirmed normal operations. No customer impact observed.,1,2
case-000057,al-000104,ent-008,analyst-09,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,16
case-000058,al-000106,ent-010,analyst-11,Validated the indicator against historical activity and documented the affected service boundary.,4,18
case-000059,al-000108,ent-012,analyst-13,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,20
case-000060,al-000110,ent-002,analyst-15,Validated the indicator against historical activity and documented the affected service boundary.,4,22
case-000061,al-000112,ent-004,analyst-17,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,24
case-000062,al-000114,ent-006,analyst-19,Validated the indicator against historical activity and documented the affected service boundary.,4,26
case-000063,al-000116,ent-008,analyst-21,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,28
case-000064,al-000118,ent-010,analyst-23,Validated the indicator against historical activity and documented the affected service boundary.,4,30
case-000065,al-000119,ent-011,analyst-24,"Checked source integrity, confirmed the event was isolated, and recorded remediation evidence.",1,2
case-000066,al-000120,ent-012,analyst-01,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,8
case-000067,al-000122,ent-002,analyst-03,Validated the indicator against historical activity and documented the affected service boundary.,4,10
case-000068,al-000124,ent-004,analyst-05,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,12
case-000069,al-000126,ent-006,analyst-07,Validated the indicator against historical activity and documented the affected service boundary.,4,14
case-000070,al-000128,ent-008,analyst-09,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,16
case-000071,al-000130,ent-010,analyst-11,Reviewed alert source and confirmed normal operations. No customer impact observed.,1,2
case-000072,al-000132,ent-012,analyst-13,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,20
case-000073,al-000134,ent-002,analyst-15,Validated the indicator against historical activity and documented the affected service boundary.,4,22
case-000074,al-000135,ent-003,analyst-16,"Checked source integrity, confirmed the event was isolated, and recorded remediation evidence.",1,2
case-000075,al-000136,ent-004,analyst-17,Reviewed alert source and confirmed normal operations. No customer impact observed.,1,2
case-000076,al-000138,ent-006,analyst-19,Validated the indicator against historical activity and documented the affected service boundary.,4,26
case-000077,al-000140,ent-008,analyst-21,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,28
case-000078,al-000142,ent-010,analyst-23,Validated the indicator against historical activity and documented the affected service boundary.,4,30
case-000079,al-000144,ent-012,analyst-01,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,8
case-000080,al-000146,ent-002,analyst-03,Validated the indicator against historical activity and documented the affected service boundary.,4,10
case-000081,al-000148,ent-004,analyst-05,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,12
case-000082,al-000150,ent-006,analyst-07,Validated the indicator against historical activity and documented the affected service boundary.,4,14
case-000083,al-000152,ent-008,analyst-09,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,16
case-000084,al-000153,ent-009,analyst-10,"Correlated telemetry with endpoint logs, reviewed operator actions, and confirmed containment.",1,2
case-000085,al-000154,ent-010,analyst-11,Validated the indicator against historical activity and documented the affected service boundary.,4,18
case-000086,al-000156,ent-012,analyst-13,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,20
case-000087,al-000158,ent-002,analyst-15,Validated the indicator against historical activity and documented the affected service boundary.,4,22
case-000088,al-000160,ent-004,analyst-17,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,24
case-000089,al-000162,ent-006,analyst-19,Validated the indicator against historical activity and documented the affected service boundary.,4,26
case-000090,al-000164,ent-008,analyst-21,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,28
case-000091,al-000166,ent-010,analyst-23,Validated the indicator against historical activity and documented the affected service boundary.,4,30
case-000092,al-000168,ent-012,analyst-01,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,8
case-000093,al-000170,ent-002,analyst-03,Reviewed alert source and confirmed normal operations. No customer impact observed.,1,2
case-000094,al-000172,ent-004,analyst-05,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,12
case-000095,al-000174,ent-006,analyst-07,Validated the indicator against historical activity and documented the affected service boundary.,4,14
case-000096,al-000176,ent-008,analyst-09,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,16
case-000097,al-000178,ent-010,analyst-11,Validated the indicator against historical activity and documented the affected service boundary.,4,18
case-000098,al-000180,ent-012,analyst-13,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,20
case-000099,al-000182,ent-002,analyst-15,Validated the indicator against historical activity and documented the affected service boundary.,4,22
case-000100,al-000184,ent-004,analyst-17,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,24
case-000101,al-000186,ent-006,analyst-19,Validated the indicator against historical activity and documented the affected service boundary.,4,26
case-000102,al-000187,ent-007,analyst-20,"Checked source integrity, confirmed the event was isolated, and recorded remediation evidence.",1,2
case-000103,al-000188,ent-008,analyst-21,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,28
case-000104,al-000190,ent-010,analyst-23,Reviewed alert source and confirmed normal operations. No customer impact observed.,1,2
case-000105,al-000192,ent-012,analyst-01,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,8
case-000106,al-000194,ent-002,analyst-03,Validated the indicator against historical activity and documented the affected service boundary.,4,10
case-000107,al-000195,ent-003,analyst-04,"Checked source integrity, confirmed the event was isolated, and recorded remediation evidence.",1,2
case-000108,al-000196,ent-004,analyst-05,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,12
case-000109,al-000198,ent-006,analyst-07,Validated the indicator against historical activity and documented the affected service boundary.,4,14
case-000110,al-000200,ent-008,analyst-09,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,16
case-000111,al-000202,ent-010,analyst-11,Validated the indicator against historical activity and documented the affected service boundary.,4,18
case-000112,al-000204,ent-012,analyst-13,Reviewed alert source and confirmed normal operations. No customer impact observed.,1,2
case-000113,al-000206,ent-002,analyst-15,Validated the indicator against historical activity and documented the affected service boundary.,4,22
case-000114,al-000208,ent-004,analyst-17,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,24
case-000115,al-000210,ent-006,analyst-19,Validated the indicator against historical activity and documented the affected service boundary.,4,26
case-000116,al-000212,ent-008,analyst-21,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,28
case-000117,al-000214,ent-010,analyst-23,Validated the indicator against historical activity and documented the affected service boundary.,4,30
case-000118,al-000216,ent-012,analyst-01,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,8
case-000119,al-000218,ent-002,analyst-03,Validated the indicator against historical activity and documented the affected service boundary.,4,10
case-000120,al-000220,ent-004,analyst-05,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,12
case-000121,al-000221,ent-005,analyst-06,"Correlated telemetry with endpoint logs, reviewed operator actions, and confirmed containment.",1,2
case-000122,al-000222,ent-006,analyst-07,Validated the indicator against historical activity and documented the affected service boundary.,4,14
case-000123,al-000224,ent-008,analyst-09,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,16
case-000124,al-000226,ent-010,analyst-11,Validated the indicator against historical activity and documented the affected service boundary.,4,18
case-000125,al-000228,ent-012,analyst-13,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,20
case-000126,al-000230,ent-002,analyst-15,Validated the indicator against historical activity and documented the affected service boundary.,4,22
